Cohort,Scenario,Protection,CPU_Usage_mean,IOwait_mean,MemUsed_mean,Commit_mean
5min,Bind Shell,AppArmor,0.256,0.211,7.101,11.12
5min,Bind Shell,No Protection,0.743,0.214,6.066,10.79
5min,Bind Shell,SELinux,0.932,0.197,8.939,12.583
5min,Configuration Injection,AppArmor,0.192,0.127,7.261,11.12
5min,Configuration Injection,No Protection,2.588,0.314,5.931,10.557
5min,Configuration Injection,SELinux,0.564,0.204,8.832,12.581
5min,Credential Exfiltration,AppArmor,0.231,0.184,7.203,11.12
5min,Credential Exfiltration,No Protection,4.469,0.228,6.08,10.576
5min,Credential Exfiltration,SELinux,1.481,0.233,9.032,12.584
5min,Defacement,AppArmor,0.278,0.229,6.652,10.91
5min,Defacement,No Protection,1.622,0.206,5.015,10.542
5min,Defacement,SELinux,0.774,0.176,8.982,12.581
5min,Defense Evasion,AppArmor,0.226,0.184,7.286,11.12
5min,Defense Evasion,No Protection,2.452,0.271,5.481,10.544
5min,Defense Evasion,SELinux,0.49,0.132,8.956,12.553
5min,Environment Variable Theft,AppArmor,0.226,0.187,6.842,10.91
5min,Environment Variable Theft,No Protection,3.244,0.142,5.99,10.556
5min,Environment Variable Theft,SELinux,1.614,0.174,9.263,12.586
5min,Kernel Reconnaissance,AppArmor,0.23,0.184,6.855,10.91
5min,Kernel Reconnaissance,No Protection,3.803,0.246,6.18,10.561
5min,Kernel Reconnaissance,SELinux,1.841,0.222,9.455,12.621
5min,Log Clearing,AppArmor,0.217,0.184,6.823,10.91
5min,Log Clearing,No Protection,3.075,0.298,5.872,10.548
5min,Log Clearing,SELinux,0.46,0.123,7.939,12.446
5min,Reverse Shell,AppArmor,0.25,0.213,7.084,11.12
5min,Reverse Shell,No Protection,2.666,0.181,5.498,10.546
5min,Reverse Shell,SELinux,0.878,0.122,7.855,11.843
5min,System Shutdown,AppArmor,0.25,0.204,6.804,10.91
5min,System Shutdown,SELinux,0.507,0.155,8.791,12.58
