Scenario,Protection,CPU_Usage_mean,IOwait_mean,MemUsed_mean,Commit_mean
Bind Shell,AppArmor,0.485,0.24,5.775,10.776
Bind Shell,No Protection,0.151,0.126,6.467,10.78
Bind Shell,SELinux,0.864,0.444,8.074,12.054
Configuration Injection,AppArmor,0.587,0.214,6.73,10.88
Configuration Injection,No Protection,0.259,0.15,6.472,10.26
Configuration Injection,SELinux,0.367,0.107,8.083,12.05
Credential Exfiltration,AppArmor,0.418,0.147,6.739,10.88
Credential Exfiltration,No Protection,0.543,0.176,6.315,10.26
Credential Exfiltration,SELinux,0.607,0.098,8.09,12.05
Defacement,AppArmor,0.529,0.193,6.749,10.88
Defacement,No Protection,0.209,0.134,5.838,10.26
Defacement,SELinux,0.497,0.115,8.06,12.05
Defense Evasion,AppArmor,0.373,0.207,6.744,10.88
Defense Evasion,No Protection,0.368,0.201,6.36,10.263
Defense Evasion,SELinux,0.46,0.114,8.014,12.044
Environment Variable Theft,AppArmor,0.382,0.18,6.752,10.88
Environment Variable Theft,No Protection,0.402,0.117,6.556,10.26
Environment Variable Theft,SELinux,0.717,0.166,7.98,12.04
Kernel Reconnaissance,AppArmor,0.422,0.14,6.062,10.88
Kernel Reconnaissance,No Protection,0.586,0.235,6.5,10.26
Kernel Reconnaissance,SELinux,0.699,0.155,7.905,12.04
Log Clearing,AppArmor,0.522,0.24,6.062,10.88
Log Clearing,No Protection,0.251,0.134,6.077,10.26
Log Clearing,SELinux,0.541,0.124,7.432,12.043
Reverse Shell,AppArmor,0.608,0.186,6.47,10.88
Reverse Shell,No Protection,0.285,0.109,6.212,10.258
Reverse Shell,SELinux,0.512,0.066,7.588,11.947
System Shutdown,AppArmor,0.344,0.074,6.456,10.74
System Shutdown,SELinux,0.441,0.05,7.824,11.76
